"","HUD.ID.Number","Project.Name","address","Project.City","Project.State","Project.ZIP.Code","County","Total.Number.of.Units","Total.Low.Income.Units","Compliance.Monitoring.Status","borough","block","lot","cd","bct2020","bctcb2020","ct2010","cb2010","schooldist","council","zipcode","firecomp","policeprct","healthcenterdistrict","healtharea","sanitboro","sanitdistrict","sanitsub","zonedist1","zonedist2","zonedist3","zonedist4","overlay1","overlay2","spdist1","spdist2","spdist3","ltdheight","splitzone","bldgclass","landuse","easements","ownertype","ownername","lotarea","bldgarea","comarea","resarea","officearea","retailarea","garagearea","strgearea","factryarea","otherarea","areasource","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","bsmtcode","assessland","assesstot","exempttot","yearbuilt","yearalter1","yearalter2","histdist","landmark","builtfar","residfar","commfar","facilfar","borocode","bbl","condono","tract2010","xcoord","ycoord","zonemap","zmcode","sanborn","taxmap","edesignum","appbbl","appdate","plutomapid","firm07_flag","pfirm15_flag","version","dcpedited","latitude","longitude","notes"
"11","NYA20030130","NOLL STREET APTS","43 central ave","BROOKLYN","NY",11206,"Kings County",60,59,"Not Indicated","BK",3154,1,304,3042500,30425003002,425,3002,32,34,11206,"E218",83,34,2200,3,4,"1A","R6","","","","","","","",NA,"","N","D1",3,0,"X","PALMORE, VALERIE A",29500,78162,0,78162,0,0,0,0,0,0,2,1,7,61,61,200,375,185.25,81.67,"N",0,"Y",3,0,398250,1921950,1921950,2002,0,0,"","",2.65,2.43,0,4.8,3,3031540001,NA,425,1003269,195047,"13b","","309 009",31101,"",3031540001,"09/20/2004",1,NA,NA,"25v4","",40.7020152,-73.9314068,NA
"12","NYA20050330","RHEINGOLD GARDENS","555 bushwick ave","BROOKLYN","NY",11206,"Kings County",93,93,"Not Indicated","BK",3151,12,304,3039100,30391001003,391,1003,14,34,11206,"E218",83,34,1710,3,4,"1A","R7-2","","","","C2-4","","","",NA,"","N","D7",4,0,"X","RHIENGOLD GARDENS HOUSING DEVELOPMENT FU ND COMP.",19052,64184,11730,52454,11730,0,0,0,0,0,2,1,6,42,43,337.36,112.77,337.4,60,"N",1,"Y",5,0,237150,2396250,2396250,2004,2013,0,"","",3.37,3.44,0,6.5,3,3031510012,NA,391,1002187,194086,"13b","","309 008",31101,"",3031510012,"07/27/2023",1,NA,NA,"25v4","",40.6993798,-73.9353117,NA
"13","NYA20060165","QUINCY SENIOR RESIDENCE","625 quincy st","BROOKLYN","NY",11221,"Kings County",94,94,"Not Indicated","BK",1625,34,303,3029100,30291003001,291,3001,16,36,11221,"E214",81,32,2100,3,3,"4B","R6A","R6B","","","","","","",NA,"","Y","D1",3,0,"X","QUINCY SENIOR RESIDENCES HOUSING",31458,84416,0,84416,0,0,0,0,0,0,2,1,6,94,94,158.33,200,158,132,"N",2,"Y",4,0,637200,3312000,3312000,2004,0,0,"","",2.68,3,0,3,3,3016250034,NA,291,1002528,190385,"17a","","305 021",30605,"",3016250034,"04/10/2007",1,NA,NA,"25v4","",40.6892207,-73.9340919,NA
"14","NYA20060180","ST LEONARD'S FAMILY HOUSING","52 wilson ave","BROOKLYN","NY",11237,"Kings County",85,84,"Not Indicated","BK",3164,26,304,3042500,30425001001,425,1000,32,34,11206,"E218",83,34,2200,3,4,"1A","R6","","","","","","","",NA,"","N","D9",3,0,"X","WILSON AVENUE LP",45000,97303,2000,95303,2000,0,0,0,0,0,2,1,6,85,87,200,225,170,114,"N",1,"N",3,2,445500,1627200,1627200,2004,2006,0,"","",2.16,2.43,0,4.8,3,3031640026,NA,425,1003927,195072,"13b","","309 010",31102,"",3031640026,"11/17/2006",1,NA,NA,"25v4","",40.7020824,-73.9290336,NA
"15","NYA20070120","MELROSE APTS","63 central ave","BROOKLYN","NY",11206,"Kings County",38,38,"Not Indicated","BK",3157,101,304,3042500,30425003005,425,3003,32,34,11206,"E218",83,34,2200,3,4,"1A","R6","","","","","","","",NA,"","N","D1",3,0,"X","MELROSE STREET HOUSING DEVELOPMENT FUND",20000,56547,0,56547,0,0,0,0,0,0,2,1,6,38,38,200,100,200,60,"N",0,"N",5,0,360000,1540350,1540350,2005,0,0,"","",2.83,2.43,0,4.8,3,3031570101,NA,425,1003455,194875,"13b","","309 009",31101,"",3031570101,"11/17/2006",1,NA,NA,"25v4","",40.7015427,-73.9307365,NA
"16","NYA20070135","MYRTLE AVE APTS","854 myrtle ave","BROOKLYN","NY",11206,"Kings County",33,33,"Not Indicated","BK",1755,20,303,3025901,30259011001,259.01,1001,14,36,11206,"L102",79,36,1800,3,3,"1A","R7D","","","","C2-4","","","",NA,"","N","D1",3,0,"X","854 MYRTLE AVENUE, L.P.",11850,42694,0,42694,0,0,0,0,0,0,2,1,6,33,33,118.5,100,118,52,"N",1,"N",5,0,133200,1165950,1165950,2006,0,0,"","",3.6,4.66,0,4.66,3,3017550020,NA,25901,998686,192591,"13b","","303 063",30609,"",NA,"",1,NA,NA,"25v4","",40.6952828,-73.9479409,NA
"17","NYA20080030","RUGGED CROSS APTS","12 patchen ave","BROOKLYN","NY",11221,"Kings County",50,50,"Not Indicated","BK",1612,39,303,3038700,30387004000,387,4000,16,36,11221,"E214",81,32,2100,3,3,"4B","R6B","","","","","","","",NA,"","N","D1",3,0,"X","RUGGED CROSS, L.P.",13400,49475,0,49475,0,0,0,0,0,0,2,1,6,50,50,100,134,100,83.89,"N",2,"N",5,0,241200,1040850,1040850,2007,0,0,"","",3.69,2,0,2,3,3016120039,NA,387,1004135,191507,"17a","","305 011",30604,"",3016120039,"07/11/2008",1,NA,NA,"25v4","",40.6922969,-73.928294,NA
"18","NYA20100080","RHEINGOLD HEIGHTS APTS","87 melrose st","BROOKLYN","NY",11206,"Kings County",58,58,"Not Indicated","BK",3151,7503,304,3039100,30391001003,391,1003,32,34,11206,"E218",83,34,1710,3,4,"1A","R7-2","","","","C2-4","","","",NA,"","N","RM",4,0,"","UNAVAILABLE OWNER",15185,65783,2159,63624,0,2159,0,0,0,0,2,1,7,59,60,134,104,96,124,"",0,"Y",0,5,314550,5213250,5120869,2008,0,0,"","",4.33,3.44,0,6.5,3,3031517503,3051,391,1002444,194014,"13b","","309 008",31101,"",3031510163,"07/07/2015",1,NA,NA,"25v4","",40.6991816,-73.934385,NA
"19","NYA20140035","KNICKERBOCKER COMMONS","803 knickerbocker ave","BROOKLYN","NY",11207,"Kings County",NA,NA,"Not Indicated","BK",3413,5,304,3043700,30437001000,437,1000,32,37,11237,"E271",83,34,3500,3,4,"3B","R6","","","","","","","",NA,"","N","D7",4,0,"X","KNICKERBOCKER COMMONS HOUSING DEVELOPMEN T FUND COR",10001,29705,4955,24750,0,0,0,0,0,4955,2,1,6,24,25,100.01,100,75,65,"",0,"N",3,5,204750,1910700,1910700,2013,0,0,"","",2.97,2.43,0,4.8,3,3034130005,NA,437,1009929,191719,"17c","","300 000",31108,"",3034130005,"01/06/2012",1,NA,NA,"25v4","",40.6928638,-73.9073998,NA
"20","NYA20152027","STANLEY COMMONS SENIOR HOUSING","890 schenck ave","BROOKLYN","NY",11207,"Kings County",81,80,"Not Indicated","BK",4375,70,305,3110600,31106001000,1106,1000,19,42,11207,"E225",75,33,6420,3,5,"4E","R5","","","","","","","",NA,"","N","D1",3,0,"X","STANLEY SENIOR HDFC, INC.",38640,84434,0,84434,0,0,0,0,0,0,2,1,7,80,80,210,184,163,74,"N",1,"N",3,0,539100,5427900,5427900,2016,2012,0,"","",2.19,1.5,0,2,3,3043750070,NA,1106,1016851,179198,"17d","","317 082",31403,"",3043760001,"08/24/2009",1,NA,NA,"25v4","",40.6584738,-73.8824992,NA
