"","BOROUGH","TAX.BLOCK","TAX.LOT","bbl","BILLBBL","CD","HOUSE.NUMBER","STREET.NAME","ADDRESS","PARCEL.NAME","AGENCY","USE.CODE","USE.TYPE","OWNERSHIP","CATEGORY","EXPANDED.CATEGORY.CODE","EXPANDED.CATEGORY.DESCRIPTION","LEASED.PROPERTIES","FINAL.COMMITMENT","AGREEMENT","X.COORDINATE","Y.COORDINATE","LATITUDE","LONGITUDE","GEOM","borough","block","lot","cd","bct2020","bctcb2020","ct2010","cb2010","schooldist","council","zipcode","firecomp","policeprct","healthcenterdistrict","healtharea","sanitboro","sanitdistrict","sanitsub","address","zonedist1","zonedist2","zonedist3","zonedist4","overlay1","overlay2","spdist1","spdist2","spdist3","ltdheight","splitzone","bldgclass","landuse","easements","ownertype","ownername","lotarea","bldgarea","comarea","resarea","officearea","retailarea","garagearea","strgearea","factryarea","otherarea","areasource","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","bsmtcode","assessland","assesstot","exempttot","yearbuilt","yearalter1","yearalter2","histdist","landmark","builtfar","residfar","commfar","facilfar","borocode","condono","tract2010","xcoord","ycoord","zonemap","zmcode","sanborn","taxmap","edesignum","appbbl","appdate","plutomapid","firm07_flag","pfirm15_flag","version","dcpedited","latitude","longitude","notes"
"46",3,4030,20,3040300020,"3,040,300,020",305,"482","WARWICK STREET","482 WARWICK STREET","","HPD",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","D","","1,015,965","183,994",40.671641,-73.88567,"POINT (-73.88567 40.671641)","BK",4030,20,305,3116200,31162001003,1162,1002,19,42,11207,"E225",75,33,6200,3,5,"1D","482 warwick st","R5","","","","","","","",NA,"","N","V0",11,0,"C","NYC HOUSING PRESERVATION AND DEVELOPMENT",2000,0,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,0,0,20,100,0,0,"",0,"N",5,5,12300,12300,12300,0,0,0,"","",0,1.5,0,2,3,NA,1162,1015965,183994,"17c","","308 005",31303,"",NA,"",1,NA,NA,"25v4","t",40.6716409,-73.88567,NA
"47",3,3682,28,3036820028,"3,036,820,028",305,"2530","ATLANTIC AVENUE","2530 ATLANTIC AVENUE","ATLANTIC AVENUE FIRE MEMORIAL","DCAS",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","","","1,011,720","185,319",40.675292,-73.900967,"POINT (-73.900967 40.675292)","BK",3682,28,305,3114400,31144001005,1144,1002,19,37,11207,"L120",75,33,5700,3,5,"1C","2530 atlantic ave","M1-4","","","","","","","",NA,"","N","V1",11,0,"C","NYC DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES",1980,0,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,0,0,20.33,97.08,0,0,"",0,"Y",5,5,59400,59400,59400,0,0,0,"","",0,0,2,6.5,3,NA,1144,1011720,185319,"17c","","316 009",31205,"",NA,"",1,NA,NA,"25v4","t",40.6752919,-73.9009674,NA
"48",3,4015,22,3040150022,"3,040,150,022",305,"2358","PITKIN AVENUE","2358 PITKIN AVENUE","","HPD",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","","","1,016,085","184,574",40.673233,-73.885235,"POINT (-73.885235 40.673233)","BK",4015,22,305,3115000,31150002002,1150,2001,19,42,11207,"E225",75,33,6200,3,5,"1D","2358 pitkin ave","R7A","","","","C2-4","","EC-5","",NA,"","N","V1",11,0,"C","SUTTER PLACE 2022 HOUSING DEVELOPMENT FU ND CORP.",5378,0,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,0,0,59.75,90,0,0,"",0,"N",5,5,303300,303300,303300,0,0,0,"","",0,4,0,4,3,NA,1150,1016085,184574,"17c","","308 015",31303,"",3040150022,"08/02/2024",1,NA,NA,"25v4","",40.6732325,-73.8852346,NA
"49",3,3433,42,3034330042,"3,034,330,042",304,"","COOPER STREET","COOPER STREET","","DCAS",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","","","1,009,407","189,345",40.68635,-73.909291,"POINT (-73.909291 40.68635)","BK",3433,42,304,3040300,30403003000,403,3000,32,37,11207,"Q252",83,34,3500,3,4,"3A","cooper st","R6","","","","","","","",NA,"","N","V0",11,0,"C","NYC DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES",200,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,0,0,10,20,0,0,"",0,"N",6,5,780,780,780,0,0,0,"","",0,2.43,0,4.8,3,NA,403,1009407,189345,"17c","","305 065",31109,"",NA,"",1,NA,NA,"25v4","t",40.6863493,-73.909291,NA
"50",3,3366,24,3033660024,"3,033,660,024",304,"1125","PUTNAM AVENUE","1125 PUTNAM AVENUE","","DCAS",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","","","1,006,873","190,326",40.689049,-73.918425,"POINT (-73.918425 40.689049)","BK",3366,24,304,3039700,30397002001,397,2001,32,37,11221,"L112",83,34,3400,3,4,"2A","madison st","R6","","","","","","","",NA,"","N","V0",11,0,"C","NYC DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES",313,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,0,0,10,31.25,0,0,"",0,"N",5,5,60,60,60,0,0,0,"","",0,2.43,0,4.8,3,NA,397,1006873,190326,"17a","","305 042",31107,"",NA,"",1,NA,NA,"25v4","t",40.6890487,-73.9184246,NA
"51",3,1811,6,3018110006,"3,018,110,006",303,"","QUINCY STREET","QUINCY STREET","","DCAS",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","","","1,000,500","189,864",40.687795,-73.941406,"POINT (-73.941406 40.687795)","BK",1811,6,303,3027700,30277004000,277,4000,16,36,11221,"E235",79,32,2000,3,3,"3B","quincy st","R6B","","","","","","","",NA,"","N","V0",11,0,"C","NYC DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES",60,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,0,0,0.4,100,0,0,"",0,"N",5,5,300,300,300,0,0,0,"","",0,2,0,2,3,NA,277,1000500,189864,"17a","","305 019",30610,"",NA,"",1,NA,NA,"25v4","t",40.6877946,-73.9414059,NA
"52",3,3801,47,3038010047,"3,038,010,047",305,"456","WILLIAMS AVENUE","456 WILLIAMS AVENUE","","HPD",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","D","","1,012,516","181,372",40.664456,-73.898114,"POINT (-73.898114 40.664456)","BK",3801,47,305,3113000,31130001002,1130,1002,19,42,11207,"E231",75,33,6300,3,5,"4C","464 williams ave","R7A","R6","","","C2-4","","","",NA,"","Y","V1",11,0,"C","NYC HOUSING PRESERVATION AND DEVELOPMENT",5000,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,0,0,50,100,0,0,"",0,"N",5,5,281700,281700,281700,0,0,0,"","",0,4,0,4,3,NA,1130,1012516,181372,"17d","","316 030",31207,"",NA,"",1,NA,NA,"25v4","t",40.6644558,-73.8981143,NA
"53",3,1754,25,3017540025,"3,017,540,025",303,"786","MYRTLE AVENUE","786 MYRTLE AVENUE","","HPD",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","D","","997,856","192,464",40.694936,-73.950934,"POINT (-73.950934 40.694936)","BK",1754,25,303,3025300,30253001000,253,1000,14,36,11206,"L102",79,36,1800,3,3,"1A","786 myrtle ave","R7D","","","","C2-4","","","",NA,"","N","V1",11,0,"C","NYC HOUSING PRESERVATION AND DEVELOPMENT",2500,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,0,0,25,100,0,0,"",0,"N",5,5,246150,246150,246150,0,0,0,"","",0,4.66,0,4.66,3,NA,253,997856,192464,"13b","","303 062",30609,"",NA,"",1,NA,NA,"25v4","t",40.6949355,-73.9509343,NA
"54",3,3300,116,3033000116,"3,033,000,116",304,"1366","GREENE AVENUE","1366 GREENE AVENUE","","DCAS",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","","","1,007,074","194,075",40.699339,-73.917687,"POINT (-73.917687 40.699339)","BK",3300,116,304,3043100,30431001001,431,1001,32,37,11237,"E271",83,34,3300,3,4,"2B","greene ave","R6","C4-3","","","","","","",NA,"","Y","V3",11,0,"C","NYC DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES",200,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,0,0,10,20,0,0,"",0,"N",6,5,66,66,66,0,0,0,"","",0,2.43,0,4.8,3,NA,431,1007074,194075,"13b","","309 040",31105,"",NA,"",1,NA,NA,"25v4","t",40.6993383,-73.9176871,NA
"55",3,1830,135,3018300135,"3,018,300,135",303,"494A","PUTNAM AVENUE","494A PUTNAM AVENUE","","DCAS",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","","","1,000,419","188,757",40.684757,-73.941701,"POINT (-73.941701 40.684757)","BK",1830,135,303,3026700,30267002000,267,2000,13,36,11221,"E235",79,32,2800,3,3,"3A","494a putnam ave","R6B","","","","","","","",NA,"","N","V0",11,0,"C","NYC DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES",58,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,0,0,0.58,100,0,0,"",0,"N",5,5,300,300,300,0,0,0,"","",0,2,0,2,3,NA,267,1000419,188757,"17a","","305 032",30611,"",NA,"",1,NA,NA,"25v4","t",40.6847563,-73.9417006,NA
"56",3,1754,32,3017540032,"3,017,540,032",303,"800","MYRTLE AVENUE","800 MYRTLE AVENUE","","HPD",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","D","","998,028","192,490",40.695007,-73.950314,"POINT (-73.950314 40.695007)","BK",1754,32,303,3025300,30253001000,253,1000,14,36,11206,"L102",79,36,1800,3,3,"1A","800 myrtle ave","R7D","","","","C2-4","","","",NA,"","N","V1",11,0,"C","NYC HOUSING PRESERVATION AND DEVELOPMENT",2500,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,0,0,25,100,0,0,"",0,"N",5,5,246150,246150,246150,0,0,0,"","",0,4.66,0,4.66,3,NA,253,998028,192490,"13b","","303 062",30609,"E-285",NA,"",1,NA,NA,"25v4","t",40.6950066,-73.950314,NA
"57",3,2269,47,3022690047,"3,022,690,047",301,"41","BARTLETT STREET","41 BARTLETT STREET","","HPD",1520,"NO USE-VACANT LAND","C",3,8,"PROPERTY WITH NO USE","","D","S","998,963","194,718",40.701121,-73.946937,"POINT (-73.946937 40.701121)","BK",2269,47,301,3050700,30507001008,507,1008,14,33,11206,"E230",90,30,1500,3,1,"4B","41 bartlett st","R7A","","","","","","","",NA,"","N","V0",11,0,"C","NYC HOUSING PRESERVATION AND DEVELOPMENT",2500,0,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,0,0,25,100,0,0,"",0,"N",5,5,40140,40140,40140,0,0,0,"","",0,4,0,4,3,NA,507,998963,194718,"13b","","303 036",30803,"E-238",NA,"",1,NA,NA,"25v4","t",40.7011204,-73.9469374,NA
