"HUD ID Number","Project Name","Project Address","Project City","Project State","Project ZIP Code","County","Total Number of Units","Total Low-Income Units","Compliance Monitoring Status"
"NYA20000005","1425-1445 GATES AVE","557 KNICKERBOCKER AVE","BROOKLYN","NY","11221","Kings County","43","42","Not Indicated"
"NYA20000010","935 EASTERN PARKWAY","935 EASTERN PKWY","BROOKLYN","NY","11213","Kings County","17","17","Not Indicated"
"NYA20000100","GENESIS NEIGHBORHOOD CENTER","360 SNEDIKER AVE","BROOKLYN","NY","11207","Kings County","52","52","Not Indicated"
"NYA20000190","RICO'S PLACE","804 CLASSON AVE","BROOKLYN","NY","11238","Kings County","14","14","Not Indicated"
"NYA20010015","120 GERRY ST HDFC","120 GERRY ST","BROOKLYN","NY","11206","Kings County","46","46","Not Indicated"
"NYA20010060","CLOVER HALL","333 KOSCIUSZKO ST","BROOKLYN","NY","11221","Kings County","72","72","Not Indicated"
"NYA20010105","KNOX PLACE","577 GRAND AVE","BROOKLYN","NY","11238","Kings County","51","51","Not Indicated"
"NYA20010120","LINDEN COURT","150 LINDEN ST","BROOKLYN","NY","11221","Kings County","40","39","Not Indicated"
"NYA20010140","NUEVA VISTA","140 JOHNSON AVE","BROOKLYN","NY","11206","Kings County","23","23","Not Indicated"
"NYA20020015","218 GATES SUPPORTIVE HOUSING PROJECT","218 GATES AVE","BROOKLYN","NY","11238","Kings County","72","71","Not Indicated"
"NYA20020105","HURON STREET SENIOR HOUSING","150 HURON ST","BROOKLYN","NY","11222","Kings County","32","32","Not Indicated"
"NYA20020115","KHIDMAH ARMS","1515 ST JOHNS PL","BROOKLYN","NY","11213","Kings County","24","24","Not Indicated"
"NYA20030125","MT CARMEL MONASTERY SENIOR HOUSING","1493 BEDFORD AVE","BROOKLYN","NY","11216","Kings County","31","31","Not Indicated"
"NYA20030130","NOLL STREET APTS","43 CENTRAL AVE","BROOKLYN","NY","11206","Kings County","60","59","Not Indicated"
