"HUD ID Number","Project Name","Project Address","Project City","Project State","Project ZIP Code","County","Total Number of Units","Total Low-Income Units","Compliance Monitoring Status"
"NYC19960075","ROUND VII (VANNGUARD URBAN IMPR)","575 HALSEY ST","BROOKLYN","NY","11233","Kings County","21","20","Not Indicated"
"NYC19970002","1120 MADISON ST","1120 MADISON ST","BROOKLYN","NY","11221","Kings County","16","16","Not Indicated"
"NYC19970005","399-401 SOUTH 4TH","399 S FOURTH ST","BROOKLYN","NY","11211","Kings County","31","25","Not Indicated"
"NYC19970020","CLASSON AVE CLUSTER","483 ST MARKS AVE","BROOKLYN","NY","11238","Kings County","8","6","Not Indicated"
"NYC19970025","CLASSON AVE CLUSTER","489 ST MARKS AVE","BROOKLYN","NY","11238","Kings County","8","5","Not Indicated"
"NYC19970030","CLASSON AVE CLUSTER","515 ST MARKS AVE","BROOKLYN","NY","11238","Kings County","8","5","Not Indicated"
"NYC19970035","CLASSON AVE CLUSTER","634 CLASSON AVE","BROOKLYN","NY","11238","Kings County","6","4","Not Indicated"
"NYC19970040","CLASSON AVE CLUSTER","808 BERGEN ST","BROOKLYN","NY","11238","Kings County","7","4","Not Indicated"
"NYC19970045","CLASSON AVE CLUSTER","818 BERGEN ST","BROOKLYN","NY","11238","Kings County","8","6","Not Indicated"
"NYC19970110","LAFAYETTE CLUSTER","312 VAN BUREN ST","BROOKLYN","NY","11221","Kings County","2","2","Not Indicated"
"NYC19970115","LAFAYETTE CLUSTER","480 LAFAYETTE AVE","BROOKLYN","NY","11205","Kings County","2","2","Not Indicated"
"NYC19970120","LAFAYETTE CLUSTER","535 LAFAYETTE AVE","BROOKLYN","NY","11205","Kings County","2","2","Not Indicated"
"NYC19970145","ROUND VI (SOUTHSIDE UNITED)","907 DRIGGS AVE","BROOKLYN","NY","11211","Kings County","21","20","Not Indicated"
"NYC19970147","ROUND VII (BROOKLYN)","48 HANCOCK ST","BROOKLYN","NY","11216","Kings County","26","25","Not Indicated"
"NYC19970160","ROUND VII (ASSOC OF BROOKLYN CLERGY)","894 KENT AVE","BROOKLYN","NY","11205","Kings County","43","42","Not Indicated"
"NYC19970165","ROUND VII (BEC NEW COMMUNITIES)","634 FRANKLIN AVE","BROOKLYN","NY","11238","Kings County","71","70","Not Indicated"
"NYC19970180","ROUND VII (LDC OF CROWN HEIGHTS)","333 PROSPECT PL","BROOKLYN","NY","11238","Kings County","34","33","Not Indicated"
"NYC19970185","ROUND VII (NE BROOKLYN HOUSING CORP BROADWAY)","706 MACDONOUGH ST","BROOKLYN","NY","11233","Kings County","47","46","Not Indicated"
"NYC19970215","STAGG-MORGAN","18 STAGG ST","BROOKLYN","NY","11206","Kings County","36","31","Not Indicated"
"NYC19970220","SUNSET HEIGHTS","354 41ST ST","BROOKLYN","NY","11232","Kings County","32","23","Not Indicated"
"NYC19979001","1120-22 MADISON AVENUE","1120-22 MADISON STREET","BROOKLYN","NY","11221","Kings County","16","16","Not Indicated"
"NYC19980060","CLASSON AVE CLUSTER","1020 PACIFIC ST","BROOKLYN","NY","11238","Kings County","5","4","Not Indicated"
"NYC19980065","CLASSON AVE CLUSTER","1063 PACIFIC ST","BROOKLYN","NY","11238","Kings County","8","4","Not Indicated"
"NYC19980070","CLASSON AVE CLUSTER","592 FRANKLIN AVE","BROOKLYN","NY","11238","Kings County","4","4","Not Indicated"
"NYC19980075","CLASSON AVE CLUSTER","643 FRANKLIN AVE","BROOKLYN","NY","11238","Kings County","8","6","Not Indicated"
"NYC19980080","CLASSON AVE CLUSTER","649 CLASSON AVE","BROOKLYN","NY","11238","Kings County","15","11","Not Indicated"
"NYC19980085","CLASSON AVE CLUSTER","663 CLASSON AVE","BROOKLYN","NY","11238","Kings County","6","4","Not Indicated"
"NYC19980090","CLASSON AVE CLUSTER","667 CLASSON AVE","BROOKLYN","NY","11238","Kings County","7","4","Not Indicated"
"NYC19980095","CLASSON AVE CLUSTER","872 BERGEN ST","BROOKLYN","NY","11238","Kings County","8","7","Not Indicated"
"NYC19980105","DOROTHY DUBLIN HOUSES","92 TAPSCOTT ST","BROOKLYN","NY","11212","Kings County","81","63","Not Indicated"
"NYC19980165","ELDERT DECATUR CLUST","1156 GATES AVE","BROOKLYN","NY","11221","Kings County","6","5","Not Indicated"
"NYC19980170","ELDERT/DECATUR CLUSTER","10 ELDERT ST","BROOKLYN","NY","11207","Kings County","8","8","Not Indicated"
"NYC19980175","ELDERT/DECATUR CLUSTER","1001 DECATUR ST","BROOKLYN","NY","11207","Kings County","6","6","Not Indicated"
"NYC19980180","ELDERT/DECATUR CLUSTER","1002 DECATUR ST","BROOKLYN","NY","11207","Kings County","6","5","Not Indicated"
"NYC19980185","ELDERT/DECATUR CLUSTER","1006 DECATUR ST","BROOKLYN","NY","11207","Kings County","6","5","Not Indicated"
"NYC19980190","ELDERT/DECATUR CLUSTER","22 ELDERT ST","BROOKLYN","NY","11207","Kings County","4","3","Not Indicated"
"NYC19980195","ELDERT/DECATUR CLUSTER","31 GRANITE ST","BROOKLYN","NY","11207","Kings County","6","6","Not Indicated"
"NYC19980200","ELDERT/DECATUR CLUSTER","34 GRANITE ST","BROOKLYN","NY","11207","Kings County","6","6","Not Indicated"
"NYC19980210","FOUNTAIN AVENUE PHASE I","122 DOSCHER ST","BROOKLYN","NY","11208","Kings County","39","30","Not Indicated"
"NYC19980215","FOUNTAIN AVENUE PHASE II","970 BELMONT AVE","BROOKLYN","NY","11208","Kings County","29","22","Not Indicated"
"NYC19980220","FRANKLIN AVE CLUSTER","1405 ST JOHNS PL","BROOKLYN","NY","11213","Kings County","20","19","Not Indicated"
"NYC19980225","FRANKLIN AVE CLUSTER","572 PROSPECT PL","BROOKLYN","NY","11238","Kings County","20","11","Not Indicated"
"NYC19980230","FRANKLIN AVE CLUSTER","582 STERLING PL","BROOKLYN","NY","11238","Kings County","4","4","Not Indicated"
"NYC19980235","FRANKLIN AVE CLUSTER","611 ST JOHNS PL","BROOKLYN","NY","11238","Kings County","8","8","Not Indicated"
"NYC19980240","FRANKLIN AVE CLUSTER","693 FRANKLIN AVE","BROOKLYN","NY","11238","Kings County","8","4","Not Indicated"
"NYC19980245","FRANKLIN AVE CLUSTER","697 FRANKLIN AVE","BROOKLYN","NY","11238","Kings County","8","5","Not Indicated"
"NYC19980250","FRANKLIN AVE CLUSTER","992 BERGEN ST","BROOKLYN","NY","11216","Kings County","4","4","Not Indicated"
"NYC19980255","GATES CLUSTER DEVELOPMENT CO","142 MADISON ST","BROOKLYN","NY","11216","Kings County","16","16","Not Indicated"
"NYC19980275","LAFAYETTE CLUSTER","895 LAFAYETTE AVE","BROOKLYN","NY","11221","Kings County","7","7","Not Indicated"
"NYC19980280","LAFAYETTE CLUSTER","952 LAFAYETTE AVE","BROOKLYN","NY","11221","Kings County","2","2","Not Indicated"
"NYC19980285","MAHOOD-HAWKINS HOUSES","2 SPENCER PL","BROOKLYN","NY","11216","Kings County","42","33","Not Indicated"
"NYC19980290","MAMIE WIGGINS APTS","327 HOWARD AVE","BROOKLYN","NY","11233","Kings County","108","89","Not Indicated"
"NYC19980295","MARY R WILSON-BILAL","116 TAPSCOTT ST","BROOKLYN","NY","11212","Kings County","93","75","Not Indicated"
"NYC19980305","MUHLENBERG/NEVINS RESIDENCE","510 ATLANTIC AVE","BROOKLYN","NY","11217","Kings County","202","194","Not Indicated"
"NYC19980310","P BERGEN KINGSTON","1439 BEDFORD AVE","BROOKLYN","NY","11216","Kings County","77","65","Not Indicated"
"NYC19980315","PUTNAM CLUSTER","186 MALCOLM X BLVD","BROOKLYN","NY","11221","Kings County","9","9","Not Indicated"
"NYC19980320","PUTNAM CLUSTER","201 MALCOLM X BLVD","BROOKLYN","NY","11221","Kings County","6","6","Not Indicated"
"NYC19980325","PUTNAM CLUSTER","205 MALCOLM X BLVD","BROOKLYN","NY","11221","Kings County","6","6","Not Indicated"
"NYC19980330","PUTNAM CLUSTER","668 MADISON ST","BROOKLYN","NY","11221","Kings County","8","6","Not Indicated"
"NYC19980335","PUTNAM CLUSTER","723 HANCOCK ST","BROOKLYN","NY","11233","Kings County","8","6","Not Indicated"
"NYC19980340","PUTNAM CLUSTER","796 PUTNAM AVE","BROOKLYN","NY","11221","Kings County","5","4","Not Indicated"
"NYC19980345","PUTNAM CLUSTER","828 PUTNAM AVE","BROOKLYN","NY","11221","Kings County","4","3","Not Indicated"
"NYC19980355","SOUTH BROOKLYN","429 E 13TH ST","BROOKLYN","NY","11218","Kings County","38","33","Not Indicated"
"NYC19980385","WILLIAMS ASSOC","486 WILLIAMS AVE","BROOKLYN","NY","11207","Kings County","140","106","Not Indicated"
"NYC19990020","67 HANSON PL","67 HANSON PL","BROOKLYN","NY","11217","Kings County","102","76","Not Indicated"
"NYC19990025","75 & 77 HANSON PLACE","75 HANSON PL","BROOKLYN","NY","11217","Kings County","8","3","Not Indicated"
"NYC19990045","CYPRESS COURT PHASE II","2829 FULTON ST","BROOKLYN","NY","11207","Kings County","57","52","Not Indicated"
"NYC19990070","FRANKLIN AVENUE CLUSTER (BROOKLYN)","552 ST MARKS AVE","BROOKLYN","NY","11238","Kings County","9","6","Not Indicated"
"NYC19990075","FRANKLIN AVENUE CLUSTER (BROOKLYN)","695 FRANKLIN AVE","BROOKLYN","NY","11238","Kings County","8","5","Not Indicated"
"NYC19990080","FRANKLIN AVENUE CLUSTER (BROOKLYN)","786 FRANKLIN AVE","BROOKLYN","NY","11238","Kings County","8","7","Not Indicated"
"NYC19990085","GATES AVENUE CLUSTER","142 MONROE ST","BROOKLYN","NY","11216","Kings County","8","6","Not Indicated"
"NYC19990090","GATES AVENUE CLUSTER","180 QUINCY ST","BROOKLYN","NY","11216","Kings County","16","13","Not Indicated"
"NYC19990095","GATES AVENUE CLUSTER","273 MONROE ST","BROOKLYN","NY","11216","Kings County","6","3","Not Indicated"
"NYC19990100","GATES AVENUE CLUSTER","281 QUINCY ST","BROOKLYN","NY","11216","Kings County","25","18","Not Indicated"
"NYC19990105","GATES AVENUE CLUSTER","340 GATES AVE","BROOKLYN","NY","11216","Kings County","8","5","Not Indicated"
"NYC19990110","GATES AVENUE CLUSTER","373 NOSTRAND AVE","BROOKLYN","NY","11216","Kings County","4","3","Not Indicated"
"NYC19990115","GATES AVENUE CLUSTER","425 GATES AVE","BROOKLYN","NY","11216","Kings County","11","7","Not Indicated"
"NYC19990120","GATES AVENUE CLUSTER","426 GATES AVE","BROOKLYN","NY","11216","Kings County","3","1","Not Indicated"
"NYC19990125","GATES AVENUE CLUSTER","529A GATES AVE","BROOKLYN","NY","11216","Kings County","4","4","Not Indicated"
"NYC19990130","GATES AVENUE CLUSTER","531 GATES AVE","BROOKLYN","NY","11216","Kings County","4","3","Not Indicated"
"NYC19990160","KOSCIUSKO CLUSTER","1134 BROADWAY","BROOKLYN","NY","11221","Kings County","1","1","Not Indicated"
"NYC19990165","KOSCIUSKO CLUSTER","557 KOSCIUSZKO ST","BROOKLYN","NY","11221","Kings County","16","14","Not Indicated"
"NYC19990170","KOSCIUSKO CLUSTER","812 LAFAYETTE AVE","BROOKLYN","NY","11221","Kings County","2","1","Not Indicated"
"NYC19990175","KOSCIUSKO CLUSTER","911 DEKALB AVE","BROOKLYN","NY","11221","Kings County","3","3","Not Indicated"
"NYC19990177","KOSCIUSKO CLUSTER","518 KOSCIUSZKO ST","BROOKLYN","NY","11221","Kings County","14","13","Not Indicated"
"NYC19990180","LAFAYETTE CLUSTER","1003 LAFAYETTE AVE","BROOKLYN","NY","11221","Kings County","9","8","Not Indicated"
"NYC19990185","LAFAYETTE CLUSTER","1069 LAFAYETTE AVE","BROOKLYN","NY","11221","Kings County","16","7","Not Indicated"
"NYC19990190","LAFAYETTE CLUSTER","1896 FULTON ST","BROOKLYN","NY","11233","Kings County","5","5","Not Indicated"
"NYC19990195","LAFAYETTE CLUSTER","262 VAN BUREN ST","BROOKLYN","NY","11221","Kings County","18","13","Not Indicated"
"NYC19990200","LAFAYETTE CLUSTER","52 PATCHEN AVE","BROOKLYN","NY","11221","Kings County","3","2","Not Indicated"
"NYC19990205","LAFAYETTE CLUSTER","751 GREENE AVE","BROOKLYN","NY","11221","Kings County","8","3","Not Indicated"
"NYC19990210","LAFAYETTE CLUSTER","794 GREENE AVE","BROOKLYN","NY","11221","Kings County","6","6","Not Indicated"
"NYC19990215","LAFAYETTE CLUSTER","838 LAFAYETTE AVE","BROOKLYN","NY","11221","Kings County","6","4","Not Indicated"
"NYC19990240","MADISON STREET CLUSTER","165 HANCOCK ST","BROOKLYN","NY","11216","Kings County","4","3","Not Indicated"
"NYC19990245","MADISON STREET CLUSTER","188 HANCOCK ST","BROOKLYN","NY","11216","Kings County","5","4","Not Indicated"
"NYC19990250","MADISON STREET CLUSTER","246 MADISON ST","BROOKLYN","NY","11216","Kings County","7","5","Not Indicated"
"NYC19990255","MADISON STREET CLUSTER","409 TOMPKINS AVE","BROOKLYN","NY","11216","Kings County","4","3","Not Indicated"
"NYC19990260","MADISON STREET CLUSTER","415 PUTNAM AVE","BROOKLYN","NY","11216","Kings County","4","4","Not Indicated"
"NYC19990265","MADISON STREET CLUSTER","446 MADISON ST","BROOKLYN","NY","11221","Kings County","12","11","Not Indicated"
"NYC19990270","MADISON STREET CLUSTER","464 MADISON ST","BROOKLYN","NY","11221","Kings County","6","4","Not Indicated"
"NYC19990275","MADISON STREET CLUSTER","493 PUTNAM AVE","BROOKLYN","NY","11221","Kings County","4","3","Not Indicated"
"NYC19990280","MADISON STREET CLUSTER","851 MARCY AVE","BROOKLYN","NY","11216","Kings County","4","3","Not Indicated"
"NYC19990285","NELSON LUQUER","60 NELSON ST","BROOKLYN","NY","11231","Kings County","44","34","Not Indicated"
"NYC19990295","PUTNAM CLUSTER","721 HANCOCK ST","BROOKLYN","NY","11233","Kings County","8","6","Not Indicated"
"NYC19990310","THE ALHAMBRA","500 NOSTRAND AVENUE","BROOKLYN","NY","11216","Kings County","46","46","Not Indicated"
"NYC19990340","THE VERMONT LP","710 DUMONT AVENUE","BROOKLYN","NY","11208","Kings County","74","74","Not Indicated"
"NYC20000045","EAST NY CLUSTER","1289 NOSTRAND AVE","BROOKLYN","NY","11226","Kings County","4","3","Not Indicated"
"NYC20000050","EAST NY CLUSTER","1604 BEDFORD AVE","BROOKLYN","NY","11225","Kings County","16","12","Not Indicated"
"NYC20000055","EAST NY CLUSTER","200 ROGERS AVE","BROOKLYN","NY","11225","Kings County","3","2","Not Indicated"
"NYC20000060","EAST NY CLUSTER","218 ROGERS AVE","BROOKLYN","NY","11225","Kings County","3","2","Not Indicated"
"NYC20000065","EAST NY CLUSTER","434 ROGERS AVE","BROOKLYN","NY","11225","Kings County","3","2","Not Indicated"
"NYC20000085","ELDERT/DECATUR CLUSTER","1151 GREENE AVE","BROOKLYN","NY","11221","Kings County","6","5","Not Indicated"
"NYC20000090","ELDERT/DECATUR CLUSTER","12 MENAHAN ST","BROOKLYN","NY","11221","Kings County","6","5","Not Indicated"
"NYC20000095","ELDERT/DECATUR CLUSTER","146 GROVE ST","BROOKLYN","NY","11221","Kings County","6","5","Not Indicated"
"NYC20000100","ELDERT/DECATUR CLUSTER","1492 BUSHWICK AVE","BROOKLYN","NY","11207","Kings County","10","9","Not Indicated"
"NYC20000105","ELDERT/DECATUR CLUSTER","15 MENAHAN ST","BROOKLYN","NY","11221","Kings County","8","8","Not Indicated"
"NYC20000110","ELDERT/DECATUR CLUSTER","205 WILSON AVE","BROOKLYN","NY","11237","Kings County","6","6","Not Indicated"
"NYC20000115","ELDERT/DECATUR CLUSTER","362 CENTRAL AVE","BROOKLYN","NY","11221","Kings County","5","4","Not Indicated"
"NYC20000120","ELDERT/DECATUR CLUSTER","436 EVERGREEN AVE","BROOKLYN","NY","11221","Kings County","7","7","Not Indicated"
"NYC20000125","ELDERT/DECATUR CLUSTER","464 CENTRAL AVE","BROOKLYN","NY","11221","Kings County","6","5","Not Indicated"
"NYC20000130","ELDERT/DECATUR CLUSTER","474 CENTRAL AVE","BROOKLYN","NY","11221","Kings County","5","5","Not Indicated"
"NYC20000135","ELDERT/DECATUR CLUSTER","87 HIMROD ST","BROOKLYN","NY","11221","Kings County","18","16","Not Indicated"
"NYC20000180","KOSCIUSKO CLUSTER","1080 DEKALB AVE","BROOKLYN","NY","11221","Kings County","3","1","Not Indicated"
"NYC20000185","KOSCIUSKO CLUSTER","1098 DEKALB AVE","BROOKLYN","NY","11221","Kings County","4","2","Not Indicated"
"NYC20000190","KOSCIUSKO CLUSTER","295 KOSCIUSZKO ST","BROOKLYN","NY","11221","Kings County","2","1","Not Indicated"
"NYC20000195","KOSCIUSKO CLUSTER","533 KOSCIUSZKO ST","BROOKLYN","NY","11221","Kings County","3","3","Not Indicated"
"NYC20000200","KOSCIUSKO CLUSTER","556 KOSCIUSZKO ST","BROOKLYN","NY","11221","Kings County","8","6","Not Indicated"
"NYC20000205","KOSCIUSKO CLUSTER","601 KOSCIUSZKO ST","BROOKLYN","NY","11221","Kings County","16","11","Not Indicated"
"NYC20000210","MACHULL REDEVELOPMENT ASSOC","358 BAINBRIDGE ST","BROOKLYN","NY","11233","Kings County","57","47","Not Indicated"
"NYC20000215","MADISON STREET CLUSTER","273 JEFFERSON AVE","BROOKLYN","NY","11216","Kings County","3","2","Not Indicated"
"NYC20000220","MADISON STREET CLUSTER","319 PUTNAM AVE","BROOKLYN","NY","11216","Kings County","5","3","Not Indicated"
"NYC20000225","MADISON STREET CLUSTER","396 MONROE ST","BROOKLYN","NY","11221","Kings County","4","3","Not Indicated"
"NYC20000230","MADISON STREET CLUSTER","401 PUTNAM AVE","BROOKLYN","NY","11216","Kings County","6","3","Not Indicated"
"NYC20000235","MADISON STREET CLUSTER","442 MADISON ST","BROOKLYN","NY","11221","Kings County","6","2","Not Indicated"
"NYC20000240","MADISON STREET CLUSTER","452 MADISON ST","BROOKLYN","NY","11221","Kings County","6","5","Not Indicated"
"NYC20000255","PUTNAM CLUSTER","660 MADISON ST","BROOKLYN","NY","11221","Kings County","8","6","Not Indicated"
"NYC20000260","PUTNAM CLUSTER","684 JEFFERSON AVE","BROOKLYN","NY","11221","Kings County","12","12","Not Indicated"
"NYC20000265","PUTNAM CLUSTER","768 JEFFERSON AVE","BROOKLYN","NY","11221","Kings County","8","6","Not Indicated"
"NYC20000300","SOUTH BROOKLYN NEIGHBORHOOD REDEVELOPMENT ASSOC","4008 NEW UTRECHT AVE","BROOKLYN","NY","11219","Kings County","22","16","Not Indicated"
"NYC20000305","SO BROOKLYN PHASE II","421 SMITH ST","BROOKLYN","NY","11231","Kings County","8","6","Not Indicated"
"NYC20000800","STUDEBAKER PLACE","1469 BEDFORD AVE","BROOKLYN","NY","11216","Kings County","27","27","Not Indicated"
"NYC20000801","QUINCY GREENE ASSOCIATES LP","587 QUINCY STREET","BROOKLYN","NY","11221","Kings County","44","44","Not Indicated"
"NYC20000806","THE WYONA LP","510 WYONA STREET","BROOKLYN","NY","11207","Kings County","40","40","Not Indicated"
"NYC20009001","1469 STUDEBAKER","1469 BEDFORD AVENUE","BROOKLYN","NY","11216","Kings County","26","26","Not Indicated"
"NYC20010005","219 SACKMAN LP","219 SACKMAN STREET","BROOKLYN","NY","11212","Kings County","38","37","Not Indicated"
"NYC20010040","EAST NY CLUSTER","888 FRANKLIN AVE","BROOKLYN","NY","11225","Kings County","4","3","Not Indicated"
"NYC20010075","EAST NY CLUSTER","1146 PRESIDENT ST","BROOKLYN","NY","11225","Kings County","8","7","Not Indicated"
"NYC20010080","EAST NY CLUSTER","175 STERLING ST","BROOKLYN","NY","11225","Kings County","2","1","Not Indicated"
"NYC20010085","EAST NY CLUSTER","229 ROGERS AVE","BROOKLYN","NY","11225","Kings County","3","2","Not Indicated"
"NYC20010090","EAST NY CLUSTER","298 ROGERS AVE","BROOKLYN","NY","11225","Kings County","3","2","Not Indicated"
"NYC20010095","EAST NY CLUSTER","300 RUTLAND RD","BROOKLYN","NY","11225","Kings County","7","6","Not Indicated"
"NYC20010100","EAST NY CLUSTER","388 RUTLAND RD","BROOKLYN","NY","11225","Kings County","4","4","Not Indicated"
"NYC20010105","EAST NY CLUSTER","727 FLATBUSH AVE","BROOKLYN","NY","11226","Kings County","2","1","Not Indicated"
"NYC20010110","EAST NY CLUSTER","827 E NEW YORK AVE","BROOKLYN","NY","11203","Kings County","6","5","Not Indicated"
"NYC20010115","EAST NY CLUSTER","901 FRANKLIN AVE","BROOKLYN","NY","11225","Kings County","2","2","Not Indicated"
"NYC20010150","HOWARD AVENUE CLUSTER","92 RALPH AVE","BROOKLYN","NY","11221","Kings County","6","3","Not Indicated"
"NYC20010155","HOWARD AVE CLUST","981 JEFFERSON AVE","BROOKLYN","NY","11221","Kings County","8","6","Not Indicated"
"NYC20010165","KOSCIUSKO CLUSTER","412 PULASKI ST","BROOKLYN","NY","11206","Kings County","21","16","Not Indicated"
"NYC20010170","NEB APTS","1056 GREENE AVE","BROOKLYN","NY","11221","Kings County","59","45","Not Indicated"
"NYC20010175","NEW LIFE HOMES","373 DEWITT AVE","BROOKLYN","NY","11207","Kings County","55","54","Not Indicated"
"NYC20010195","PUTNAM CLUSTER","680 JEFFERSON AVE","BROOKLYN","NY","11221","Kings County","35","26","Not Indicated"
"NYC20010210","EMERALD GREEN LP","1426 LORING AVENUE A-D","BROOKLYN","NY","11208","Kings County","100","99","Not Indicated"
"NYC20010220","SULLIVAN ST APTS","46 SULLIVAN ST","BROOKLYN","NY","11231","Kings County","20","20","Not Indicated"
"NYC20010225","SIXES","666 WILLOUGHBY AVE","BROOKLYN","NY","11206","Kings County","60","50","Not Indicated"
"NYC20010801","SULLIVAN 46 REALTY L.P.","46-54 SULLIVAN STREET","BROOKLYN","NY","11213","Kings County","20","20","Not Indicated"
"NYC20020010","BAINBRIDGE CLUSTER","249 MALCOLM X BLVD","BROOKLYN","NY","11233","Kings County","5","4","Not Indicated"
"NYC20020015","BAINBRIDGE CLUSTER","333 LEWIS AVE","BROOKLYN","NY","11233","Kings County","8","6","Not Indicated"
"NYC20020020","BAINBRIDGE CLUSTER","372 LEWIS AVE","BROOKLYN","NY","11233","Kings County","8","6","Not Indicated"
"NYC20020025","BAINBRIDGE CLUSTER","372 HANCOCK ST","BROOKLYN","NY","11216","Kings County","8","6","Not Indicated"
"NYC20020030","BAINBRIDGE CLUSTER","400 HANCOCK ST","BROOKLYN","NY","11216","Kings County","4","3","Not Indicated"
"NYC20020035","BAINBRIDGE CLUSTER","412 MACDONOUGH ST","BROOKLYN","NY","11233","Kings County","7","6","Not Indicated"
"NYC20020040","BAINBRIDGE CLUSTER","469 HANCOCK ST","BROOKLYN","NY","11233","Kings County","6","5","Not Indicated"
"NYC20020045","BAINBRIDGE CLUSTER","660 HALSEY ST","BROOKLYN","NY","11233","Kings County","6","5","Not Indicated"
"NYC20020050","QUINCY STREET HDFC","474 QUINCY ST","BROOKLYN","NY","11221","Kings County","14","14","Not Indicated"
"NYC20020060","BSDC NRP2001","732 MARCY AVE","BROOKLYN","NY","11216","Kings County","10","9","Not Indicated"
"NYC20020062","BUSHWICK CLUSTER","45 STOCKHOLM ST","BROOKLYN","NY","11221","Kings County","4","3","Not Indicated"
"NYC20020155","HOWARD AVENUE CLUSTER","1058 PUTNAM AVE","BROOKLYN","NY","11221","Kings County","6","4","Not Indicated"
"NYC20020160","HOWARD AVENUE CLUSTER","653 MACDONOUGH ST","BROOKLYN","NY","11233","Kings County","6","3","Not Indicated"
"NYC20020165","HOWARD AVENUE CLUSTER","914 HANCOCK ST","BROOKLYN","NY","11233","Kings County","6","4","Not Indicated"
"NYC20020185","LINDEN MEWS","458 RUBY ST","BROOKLYN","NY","11208","Kings County","39","38","Not Indicated"
"NYC20020200","NEB APTS","100 PULASKI ST","BROOKLYN","NY","11206","Kings County","49","26","Not Indicated"
"NYC20020205","NORTH BROOKLYN ESTATES","1134 MANHATTAN AVE","BROOKLYN","NY","11222","Kings County","18","15","Not Indicated"
"NYC20020255","EMERALD GREEN PHASE II LP","1426 LORING AVENUE","BROOKLYN","NY","11208","Kings County","83","82","Not Indicated"
"NYC20020803","RUBY DUMONT LP","458 RUBY STREET","BROOKLYN","NY","11208","Kings County","36","35","Not Indicated"
"NYC20030007","BANKOLE HOUSES","2159 PACIFIC ST","BROOKLYN","NY","11233","Kings County","41","33","Not Indicated"
"NYC20030010","BSDC NRP 2001","46 HALSEY ST","BROOKLYN","NY","11216","Kings County","52","37","Not Indicated"
"NYC20030015","BUSHWICK CLUSTER","106 TROUTMAN ST","BROOKLYN","NY","11206","Kings County","12","6","Not Indicated"
"NYC20030020","BUSHWICK CLUSTER","1203 MYRTLE AVE","BROOKLYN","NY","11221","Kings County","5","4","Not Indicated"
"NYC20030025","BUSHWICK CLUSTER","178 JEFFERSON AVE","BROOKLYN","NY","11216","Kings County","4","3","Not Indicated"
"NYC20030030","BUSHWICK CLUSTER","236 WILSON AVE","BROOKLYN","NY","11237","Kings County","5","4","Not Indicated"
"NYC20030035","BUSHWICK CLUSTER","34 STARR ST","BROOKLYN","NY","11221","Kings County","4","3","Not Indicated"
"NYC20030040","BUSHWICK CLUSTER","762 HART ST","BROOKLYN","NY","11237","Kings County","5","2","Not Indicated"
"NYC20030087","CROWN HEIGHTS NRP","765 ST JOHNS PL","BROOKLYN","NY","11216","Kings County","107","87","Not Indicated"
"NYC20030100","JEFFERSON CLUSTER (103 HALSEY ST)","103 HALSEY ST","BROOKLYN","NY","11216","Kings County","3","3","Not Indicated"
"NYC20030105","JEFFERSON CLUSTER (116 JEFFERSON AVE)","116 JEFFERSON AVE","BROOKLYN","NY","11216","Kings County","5","5","Not Indicated"
"NYC20030110","JEFFERSON CLUSTER (FULTON ST)","1160 FULTON ST","BROOKLYN","NY","11216","Kings County","4","3","Not Indicated"
"NYC20030115","JEFFERSON CLUSTER (BEDFORD AVE)","1204 BEDFORD AVE","BROOKLYN","NY","11216","Kings County","6","5","Not Indicated"
"NYC20030120","JEFFERSON CLUSTER (121 PUTNAM AVE)","121 PUTNAM AVE","BROOKLYN","NY","11238","Kings County","8","6","Not Indicated"
"NYC20030125","JEFFERSON CLUSTER (221 HALSEY ST)","221 HALSEY ST","BROOKLYN","NY","11216","Kings County","6","5","Not Indicated"
"NYC20030130","JEFFERSON CLUSTER (224 MACON ST)","224 MACON ST","BROOKLYN","NY","11216","Kings County","3","2","Not Indicated"
"NYC20030135","JEFFERSON CLUSTER (446 TOMPKINS AVE)","446 TOMPKINS AVE","BROOKLYN","NY","","Kings County","3","2","Not Indicated"
"NYC20030140","JEFFERSON CLUSTER (447 TOMPKINS AVE)","447 TOMPKINS AVE","BROOKLYN","NY","11216","Kings County","5","4","Not Indicated"
"NYC20030145","JUDAH ASSOC","234 SPENCER ST","BROOKLYN","NY","11205","Kings County","55","42","Not Indicated"
"NYC20030155","NORTH BROOKLYN ESTATES","110 MESEROLE ST","BROOKLYN","NY","11206","Kings County","16","13","Not Indicated"
"NYC20030175","STRONG","250 GREENE AVE","BROOKLYN","NY","11238","Kings County","35","26","Not Indicated"
"NYC20030180","GRANT FORBELL LP","922 FORBELL STREET","BROOKLYN","NY","11208","Kings County","102","101","Not Indicated"
"NYC20040040","BAINBRIDGE CLUSTER","217 BAINBRIDGE ST","BROOKLYN","NY","11233","Kings County","7","6","Not Indicated"
"NYC20040045","BAINBRIDGE CLUSTER","233 BAINBRIDGE ST","BROOKLYN","NY","11233","Kings County","4","3","Not Indicated"
"NYC20040050","BAINBRIDGE CLUSTER","239 BAINBRIDGE ST","BROOKLYN","NY","11233","Kings County","8","6","Not Indicated"
"NYC20040055","BAINBRIDGE CLUSTER","259 PATCHEN AVE","BROOKLYN","NY","11233","Kings County","5","4","Not Indicated"
